restaurant_name,Number_of_Outlets,Average_Rating,Average_Votes
Metro Fast Food,2,2.65,21.5
Miam,2,3.55,27.5
Midnight Hunger,2,3.45,27.5
Midnight Hunger Hub,3,4.03,38.0
Mirchievous,2,3.5,25.0
Mithaas,2,3.05,102.5
Mithaas Sweets,2,2.9,28.0
Mitra Da Dhaba,3,2.1,91.0
Mitthu Tikki Wala,2,3.3,33.5
Mocha,7,4.19,444.43
Mogambo Kitchen,2,1.55,4.5
Moksha,2,3.45,82.0
Mom's Kitchen,2,1.75,14.0
Momo-Cha,4,2.72,31.0
Momos House,2,3.1,18.5
Moon Bite,2,3.2,95.0
Mother's Kitchen,2,1.45,3.0
Moti Mahal Delux,14,3.0,73.07
Moti Mahal Delux Tandoori Trail,6,2.73,83.5
Moti Mahal Delux- Legendary Culinary,2,3.6,124.5
Movenpick,3,3.97,84.33
Mr. Baker's,2,1.5,11.5
Mr. Brown,3,3.87,95.0
Mr. Momo,2,1.35,9.5
Mr. Sub,6,2.58,36.17
Muffins,2,2.7,61.0
Munch Nation,2,3.9,411.5
Muradabadi Shahi Biryani & Chicken Corner,3,1.97,30.67
Murliwala Bakers,2,0.0,0.0
Mx Corn,4,0.78,2.5
Mysore Cafe,2,3.6,145.5
Nagpal's,2,3.45,83.0
Naivedyam,3,3.87,827.0
Nando's,5,3.14,809.0
Nanking,2,3.65,284.5
Nathu's Sweets,5,2.72,200.6
Natural Ice Cream,2,4.5,366.0
Naturals Ice Cream,2,4.8,1547.0
Nawabi Mughlai Zaika,2,3.25,26.5
Nazeer Delicacies,2,3.3,92.0
Nazeer Foods,7,3.33,232.57
New Kadimi,2,2.9,126.0
New Madras Cafe,3,1.97,15.67
New Punjabi Khana,2,3.5,56.0
New Town Cafe - Park Plaza,2,3.9,202.0
New Zaika,2,2.75,22.5
Night Food Delivery,2,1.35,3.5
Night Food Xprs,2,2.7,63.5
Night Munchers,2,0.0,0.5
Nirula's,4,2.65,119.5
Nirula's Ice Cream,9,2.4,13.0
Nite Bites,4,3.18,126.75
Niti Shake & Ice Cream Hub,3,1.27,8.33
Nizam's Kathi Kabab,4,3.65,589.0
Nooba,2,3.7,240.5
Not Just Paranthas,3,3.33,549.0
Nukkadwala,5,2.82,41.2
Nutritious Nation,2,3.55,208.0
OCD - Online Cake Delivery,2,0.0,1.0
Oberoi Biryani,2,2.75,112.5
Oberoi's,2,3.4,41.5
Oh Buoy,2,3.35,52.5
Oh! Calcutta,2,4.1,999.5
Olive Bistro,2,4.15,1854.0
Om Sweets & Snacks,3,3.13,212.67
Onesta,3,4.5,940.33
Open Oven,4,3.48,138.25
Organic Express,2,3.2,13.5
Otik Cake Shop,2,3.65,135.5
Out Of The Box,2,3.85,2450.0
Ovenstory Pizza,8,2.5,12.5
Paapi Paet,2,3.45,159.0
Pakwan,4,2.08,31.5
Palmshore,3,4.3,742.67
Pandey Chinese Hut,2,2.7,25.0
Pandit Ji Ki Apni Rasoi,2,1.2,3.0
Papa Buns,2,1.8,13.0
Papa Veg Chinese Food,2,3.35,31.0
Paradise,2,3.7,687.0
Paramjeet Machi Wala,2,3.5,76.0
Pasta Hub,2,3.05,11.5
Pasta Hut,2,3.4,58.0
Pastry Palace,2,1.6,6.5
Patiala Shahi,2,3.45,98.0
Pebble Street,2,3.95,851.5
Perch Wine & Coffee Bar,2,4.25,332.5
Perfect Bake,2,3.55,82.5
Pho King Awesome,2,2.05,127.0
Pind Balluchi,20,2.63,279.1
Pirates of Grill,4,4.02,1772.75
Pita Pit,5,3.7,340.6
Pitstop,2,1.65,43.5
Pizza Day,2,0.0,2.0
Pizza Diet,2,2.75,17.5
Pizza Hub,3,0.0,2.33
Pizza Hut,30,3.32,165.37
Pizza Hut Delivery,19,2.66,80.37
Pizza King,2,0.0,0.5
Pizza Station,3,2.17,9.33
Pizza Yum,2,2.9,16.0
Polka Pastry & Snack Bar,3,3.1,46.33
Prince Chaat Corner,2,3.45,48.0
Public Cafe,4,2.4,26.75
Pudding & Pie,6,3.17,43.0
Puja Sandwich House,2,1.35,8.5
Punjab Grill,5,4.34,1084.8
Punjab Restaurant,3,3.27,45.67
Punjabee's Darbar,2,3.15,26.5
Punjabi By Nature,2,3.7,1013.0
Punjabi Chaap Corner,8,2.35,27.62
Punjabi Chicken,2,0.0,1.5
Punjabi Dhaba,3,2.2,35.67
Punjabi Pakwaan,3,3.13,66.33
Punjabi Rasoi,6,1.25,34.5
Punjabi Tadka,8,2.55,22.75
Punjabi Zaika,4,2.35,55.75
Punjabi's Veg Grill,4,2.3,6.25
Puri Bakers,4,3.72,108.0
QD's Restaurant,3,4.03,1178.67
Qureshi Kabab Corner,2,3.65,40.5
Qureshi's Kabab Corner,4,3.58,186.0
Raasta,2,3.85,1471.5
Radha Swami Shudh Vaishno Dhaba,3,0.0,2.0
Rainbows,4,3.1,28.25
Raj Rasoi,2,1.65,38.0
Raj Restaurant,2,2.75,51.5
Rajdhani Restaurant,2,0.0,0.0
Rajshree,2,3.2,13.5
Ram Chinese Food,2,3.0,16.0
Ramesh Vaishno Dhaba,2,3.1,24.0
Rasoi,2,1.5,3.5
Rasoi - The Indian Zaika,2,0.0,1.0
Red Chilli,5,2.5,49.4
Red Mango,2,3.65,275.0
Reena Restaurant,2,3.1,33.0
Relax Xpress,2,3.2,50.0
Republic of Chicken,18,2.42,13.0
Rhinehart's Oyster Bar,2,4.0,391.0
Riyaz Biryani Corner,3,0.0,1.0
Riyaz Chicken Corner,2,1.7,37.5
Roll Club,3,3.07,54.0
Roll Corner,2,1.65,7.0
Rolling Beans,2,2.8,7.0
Rollmaal,3,3.4,239.67
RollsKing,7,3.7,259.14
Roti Aur Boti,2,3.35,28.0
Royal Spice,2,0.0,0.5
Royale Bakers,2,1.4,9.0
SGF - Spice Grill Flame,5,3.2,37.4
Sadda Adda,2,1.75,12.0
Sagar Dhaba,2,1.55,14.5
Sagar Ratna,19,2.96,212.53
San Carlo,2,4.25,446.5
Sandoz,5,2.4,45.0
Sandwich King,2,3.65,157.0
Sanjha Chulha,6,2.42,66.33
Saravana Bhavan,3,4.13,2412.67
Sardar A Pure Meat Shop,9,1.72,12.44
Say Cheese,2,2.7,96.0
Sbarro,2,3.4,704.0
Senorita's,2,1.85,30.0
Sethi's The Cake Shop,2,3.35,83.0
Shahenshah,3,3.13,24.0
Shake Square,2,3.65,797.0
Shalimar Vyanjan,2,1.5,4.5
Shama Chicken Corner,9,1.08,7.67
Shamji Sweets,2,3.05,20.5
Shankar Fast Food,2,2.95,44.5
Shawarma King's,2,3.4,71.5
Shawarma Wala,3,2.07,85.0
Shree Bikaner Misthan Bhandar,5,3.0,13.8
Shree Durga Dosa,2,3.05,31.0
Shree Rathnam,15,3.0,72.2
Shri Ram Restaurant,2,2.85,49.0
Shyam Sweets,2,3.45,104.5
Sibang Bakery,2,3.7,120.0
Side Wok,3,3.87,291.67
Silantro Fil-Mex,2,4.85,682.0
Singh Chicken,2,0.0,1.5
Singz,2,2.7,51.5
Slice of Italy,7,2.73,196.71
Smaaash,2,3.95,371.5
Smoke House Deli,2,4.05,1146.0
Snack Junction,2,3.1,18.5
Snack Shack,2,1.35,7.5
Snacks Point,2,1.45,2.5
SodaBottleOpenerWala,3,4.07,1791.33
Sonya Bakery Cafe,2,3.4,27.0
South Cafe,2,1.75,48.0
South Indian Cafe,2,3.0,30.0
South Indian Corner,2,3.4,44.5
South Indian Hut,4,1.58,10.75
Southy,6,2.72,107.17
Soya Bite's,2,0.0,1.0
